title,cuisine,rating,reviewsCount,street,url,location/lat,location/lng
بلدينا,Pizza restaurant,3.9,438,23 Africa - Emtedad Moustafa Al Nahas,https://www.google.com/maps/search/?api=1&query=%D8%A8%D9%84%D8%AF%D9%8A%D9%86%D8%A7&query_place_id=ChIJQe5qgts9WBQRFNjsU6v8bB4,30.056644,31.362658
عربية فول عم سيد,Breakfast restaurant,3.3,3,"393G+F64, Abd Al Motgali",https://www.google.com/maps/search/?api=1&query=%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9%20%D9%81%D9%88%D9%84%20%D8%B9%D9%85%20%D8%B3%D9%8A%D8%AF&query_place_id=ChIJA6kgNrk9WBQR89oyu2jnGcM,30.0536411,31.3755658
PizzaHut,Fast food restaurant,4,902,شارع Africa - Emtedad Moustafa Al Nahas,https://www.google.com/maps/search/?api=1&query=PizzaHut&query_place_id=ChIJsfM8VMM9WBQRJx5ifCdHLhU,30.0564989,31.3658304
طنط,Barbecue restaurant,3.5,19,3928+F68,https://www.google.com/maps/search/?api=1&query=%D8%B7%D9%86%D8%B7&query_place_id=ChIJbYFaXd09WBQROBf2azk2dTY,30.0511705,31.3655847
Chickana,Restaurant,3.7,360,82 Al Methak,https://www.google.com/maps/search/?api=1&query=Chickana&query_place_id=ChIJhf0hQtI9WBQRRFu28YEH_js,30.0493762,31.3859735
مطعم عيش و ملح,Fast food restaurant,5,1,"29XH+JXG, Ahmed El-Zomor",https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%B9%D9%8A%D8%B4%20%D9%88%20%D9%85%D9%84%D8%AD&query_place_id=ChIJTV3Fs4o9WBQReCje_tyaVf4,30.0490503,31.3799663
مشويات جدو,Restaurant,4.6,28,"The Arab Contractors, Omar Ibn El-Khattab",https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA%20%D8%AC%D8%AF%D9%88&query_place_id=ChIJwSWIdSA_WBQR7WgAtFEsXXk,30.0511358,31.2938297
Warung Nusantara,Restaurant,5,4,"Masaken Atlas, Mousallas, 10th District",https://www.google.com/maps/search/?api=1&query=Warung%20Nusantara&query_place_id=ChIJK3Un_eY9WBQRvduzKivgxEc,30.0468915,31.3719337
مطعم اوربانو,Yemeni restaurant,4.5,15,"373V+58H، عمر بن الخطاب، الأباجية، قسم الخليفة، محافظة القاهرة‬،",https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%88%D8%B1%D8%A8%D8%A7%D9%86%D9%88&query_place_id=ChIJO0PaSxs_WBQRf3WtTg8jJvA,30.0529348,31.2933689
كشري حرشه,Family restaurant,5,1,"372R+5RM, El-Salam",https://www.google.com/maps/search/?api=1&query=%D9%83%D8%B4%D8%B1%D9%8A%20%D8%AD%D8%B1%D8%B4%D9%87&query_place_id=ChIJj6gIhK8_WBQRl2turFjtXlY,30.0504114,31.2921846
مطعم شوقي,Brunch restaurant,5,3,"8 شارع أبو بكر الصديق - المقاولون العرب قسم ثان مدينة نصر محافظة القاهرة‬،",https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%B4%D9%88%D9%82%D9%8A&query_place_id=ChIJA3AaK5I_WBQRNGrHPMhRxPQ,30.0524669,31.2924237
مطعم فارس هاشم,Restaurant,5,2,"27XR+9QW, Unnamed Road",https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%81%D8%A7%D8%B1%D8%B3%20%D9%87%D8%A7%D8%B4%D9%85&query_place_id=ChIJK41v6yw_WBQRpn-OrxIMLnA,30.04848,31.2919627
كشرى ليالى العرب,Restaurant,3.5,6,"373V+39Q، سعيد الشامي، الأباجية، قسم الخليفة،",https://www.google.com/maps/search/?api=1&query=%D9%83%D8%B4%D8%B1%D9%89%20%D9%84%D9%8A%D8%A7%D9%84%D9%89%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A8&query_place_id=ChIJIXVdD_I_WBQRRqx4sR23tZg,30.0527,31.2934871
